symbol;date;price
MSFT;mon 1 1;39.81
MSFT;tue 2 1;36.35
MSFT;wed 3 1;43.22
MSFT;thu 4 1;28.37
MSFT;fri 5 1;25.45
MSFT;sat 6 1;32.54
MSFT;sun 7 1;28.4
MSFT;mon 8 1;28.4
MSFT;tue 9 1;24.53
MSFT;wed 10 1;28.02
MSFT;thu 11 1;23.34
MSFT;fri 12 1;17.65
MSFT;sat 13 1;24.84
MSFT;sun 14 1;24
MSFT;mon 15 1;22.25
MSFT;tue 16 1;27.56
MSFT;wed 17 1;28.14
MSFT;thu 18 1;29.7
MSFT;fri 19 1;26.93
MSFT;sat 20 1;23.21
MSFT;sun 21 1;20.82
MSFT;mon 22 1;23.65
MSFT;tue 23 1;26.12
MSFT;wed 24 1;26.95
MSFT;thu 25 1;25.92
MSFT;fri 26 1;23.73
MSFT;sat 27 1;24.53
MSFT;sun 28 1;21.26
MSFT;mon 29 1;20.71
MSFT;tue 30 1;22.25
MSFT;wed 31 1;19.52
MSFT;thu 1 2;19.97
MSFT;fri 2 2;17.79
MSFT;sat 3 2;21.75
MSFT;sun 4 2;23.46
MSFT;mon 5 2;21.03
MSFT;tue 6 2;19.31
MSFT;wed 7 2;19.34
MSFT;thu 8 2;19.76
MSFT;fri 9 2;20.87
MSFT;sat 10 2;20.09
MSFT;sun 11 2;20.93
MSFT;mon 12 2;21.56
MSFT;tue 13 2;21.65
MSFT;wed 14 2;22.69
MSFT;thu 15 2;21.45
MSFT;fri 16 2;21.1
MSFT;sat 17 2;22.46
MSFT;sun 18 2;22.69
MSFT;mon 19 2;21.77
MSFT;tue 20 2;20.46
MSFT;wed 21 2;21.45
MSFT;thu 22 2;21.53
MSFT;fri 23 2;23.44
MSFT;sat 24 2;23.38
MSFT;sun 25 2;22.47
MSFT;mon 26 2;22.76
MSFT;tue 27 2;23.02
MSFT;wed 28 2;24.6
MSFT;thu 29 2;24.52
